mode,team,strategy_id,strategy_name,action_id,action_name,picks,pick_rate
standard,balanced+balanced,none,无策略,stop,暂停当前步骤,4619,0.1324
standard,balanced+balanced,none,无策略,ppe,补全PPE,1288,0.0369
standard,balanced+balanced,none,无策略,label,核对标签与记录,2252,0.0646
standard,balanced+balanced,none,无策略,hood,使用通风橱,2698,0.0773
standard,balanced+balanced,none,无策略,waste,分类回收,1277,0.0366
standard,balanced+balanced,none,无策略,cleanup,隔离与清理,2694,0.0772
standard,balanced+balanced,none,无策略,emergency,使用应急设施,3662,0.105
standard,balanced+balanced,none,无策略,report,上报负责人,4494,0.1288
standard,balanced+balanced,none,无策略,shutdown,切断热源/电源,4543,0.1302
standard,balanced+balanced,none,无策略,inspect,检查并更换器材,2414,0.0692
standard,balanced+balanced,none,无策略,secure,固定与规范连接,762,0.0218
standard,balanced+balanced,none,无策略,evacuate,撤离与警戒,4179,0.1198
standard,balanced+expert,none,无策略,stop,暂停当前步骤,4657,0.1336
standard,balanced+expert,none,无策略,ppe,补全PPE,1313,0.0377
standard,balanced+expert,none,无策略,label,核对标签与记录,2332,0.0669
standard,balanced+expert,none,无策略,hood,使用通风橱,2597,0.0745
standard,balanced+expert,none,无策略,waste,分类回收,1279,0.0367
standard,balanced+expert,none,无策略,cleanup,隔离与清理,2695,0.0773
standard,balanced+expert,none,无策略,emergency,使用应急设施,3658,0.105
standard,balanced+expert,none,无策略,report,上报负责人,4553,0.1306
standard,balanced+expert,none,无策略,shutdown,切断热源/电源,4617,0.1325
standard,balanced+expert,none,无策略,inspect,检查并更换器材,2319,0.0665
standard,balanced+expert,none,无策略,secure,固定与规范连接,673,0.0193
standard,balanced+expert,none,无策略,evacuate,撤离与警戒,4157,0.1193
standard,balanced+learner,none,无策略,stop,暂停当前步骤,4689,0.1346
standard,balanced+learner,none,无策略,ppe,补全PPE,1278,0.0367
standard,balanced+learner,none,无策略,label,核对标签与记录,2115,0.0607
standard,balanced+learner,none,无策略,hood,使用通风橱,2648,0.076
standard,balanced+learner,none,无策略,waste,分类回收,1324,0.038
standard,balanced+learner,none,无策略,cleanup,隔离与清理,2674,0.0768
standard,balanced+learner,none,无策略,emergency,使用应急设施,3675,0.1055
standard,balanced+learner,none,无策略,report,上报负责人,4539,0.1303
standard,balanced+learner,none,无策略,shutdown,切断热源/电源,4647,0.1334
standard,balanced+learner,none,无策略,inspect,检查并更换器材,2328,0.0668
standard,balanced+learner,none,无策略,secure,固定与规范连接,699,0.0201
standard,balanced+learner,none,无策略,evacuate,撤离与警戒,4214,0.121
standard,balanced+reckless,none,无策略,stop,暂停当前步骤,4571,0.1309
standard,balanced+reckless,none,无策略,ppe,补全PPE,1354,0.0388
standard,balanced+reckless,none,无策略,label,核对标签与记录,2235,0.064
standard,balanced+reckless,none,无策略,hood,使用通风橱,2902,0.0831
standard,balanced+reckless,none,无策略,waste,分类回收,1393,0.0399
standard,balanced+reckless,none,无策略,cleanup,隔离与清理,2608,0.0747
standard,balanced+reckless,none,无策略,emergency,使用应急设施,3775,0.1081
standard,balanced+reckless,none,无策略,report,上报负责人,4490,0.1286
standard,balanced+reckless,none,无策略,shutdown,切断热源/电源,4379,0.1254
standard,balanced+reckless,none,无策略,inspect,检查并更换器材,2316,0.0663
standard,balanced+reckless,none,无策略,secure,固定与规范连接,794,0.0227
standard,balanced+reckless,none,无策略,evacuate,撤离与警戒,4105,0.1175
standard,balanced+safe,none,无策略,stop,暂停当前步骤,4712,0.1353
standard,balanced+safe,none,无策略,ppe,补全PPE,1217,0.035
standard,balanced+safe,none,无策略,label,核对标签与记录,2120,0.0609
standard,balanced+safe,none,无策略,hood,使用通风橱,2578,0.074
standard,balanced+safe,none,无策略,waste,分类回收,1284,0.0369
standard,balanced+safe,none,无策略,cleanup,隔离与清理,2587,0.0743
standard,balanced+safe,none,无策略,emergency,使用应急设施,3789,0.1088
standard,balanced+safe,none,无策略,report,上报负责人,4769,0.137
standard,balanced+safe,none,无策略,shutdown,切断热源/电源,4569,0.1312
standard,balanced+safe,none,无策略,inspect,检查并更换器材,2200,0.0632
standard,balanced+safe,none,无策略,secure,固定与规范连接,702,0.0202
standard,balanced+safe,none,无策略,evacuate,撤离与警戒,4293,0.1233
standard,expert+expert,none,无策略,stop,暂停当前步骤,4631,0.133
standard,expert+expert,none,无策略,ppe,补全PPE,1211,0.0348
standard,expert+expert,none,无策略,label,核对标签与记录,2298,0.066
standard,expert+expert,none,无策略,hood,使用通风橱,2677,0.0769
standard,expert+expert,none,无策略,waste,分类回收,1320,0.0379
standard,expert+expert,none,无策略,cleanup,隔离与清理,2654,0.0762
standard,expert+expert,none,无策略,emergency,使用应急设施,3611,0.1037
standard,expert+expert,none,无策略,report,上报负责人,4679,0.1344
standard,expert+expert,none,无策略,shutdown,切断热源/电源,4635,0.1331
standard,expert+expert,none,无策略,inspect,检查并更换器材,2251,0.0647
standard,expert+expert,none,无策略,secure,固定与规范连接,709,0.0204
standard,expert+expert,none,无策略,evacuate,撤离与警戒,4140,0.1189
standard,expert+learner,none,无策略,stop,暂停当前步骤,4771,0.1365
standard,expert+learner,none,无策略,ppe,补全PPE,1269,0.0363
standard,expert+learner,none,无策略,label,核对标签与记录,2253,0.0645
standard,expert+learner,none,无策略,hood,使用通风橱,2690,0.077
standard,expert+learner,none,无策略,waste,分类回收,1282,0.0367
standard,expert+learner,none,无策略,cleanup,隔离与清理,2526,0.0723
standard,expert+learner,none,无策略,emergency,使用应急设施,3726,0.1066
standard,expert+learner,none,无策略,report,上报负责人,4650,0.1331
standard,expert+learner,none,无策略,shutdown,切断热源/电源,4598,0.1316
standard,expert+learner,none,无策略,inspect,检查并更换器材,2322,0.0665
standard,expert+learner,none,无策略,secure,固定与规范连接,674,0.0193
standard,expert+learner,none,无策略,evacuate,撤离与警戒,4179,0.1196
standard,expert+reckless,none,无策略,stop,暂停当前步骤,4591,0.1318
standard,expert+reckless,none,无策略,ppe,补全PPE,1217,0.0349
standard,expert+reckless,none,无策略,label,核对标签与记录,2278,0.0654
standard,expert+reckless,none,无策略,hood,使用通风橱,2735,0.0785
standard,expert+reckless,none,无策略,waste,分类回收,1358,0.039
standard,expert+reckless,none,无策略,cleanup,隔离与清理,2661,0.0764
standard,expert+reckless,none,无策略,emergency,使用应急设施,3667,0.1053
standard,expert+reckless,none,无策略,report,上报负责人,4657,0.1337
standard,expert+reckless,none,无策略,shutdown,切断热源/电源,4498,0.1291
standard,expert+reckless,none,无策略,inspect,检查并更换器材,2330,0.0669
standard,expert+reckless,none,无策略,secure,固定与规范连接,710,0.0204
standard,expert+reckless,none,无策略,evacuate,撤离与警戒,4130,0.1186
standard,expert+safe,none,无策略,stop,暂停当前步骤,4777,0.1372
standard,expert+safe,none,无策略,ppe,补全PPE,1236,0.0355
standard,expert+safe,none,无策略,label,核对标签与记录,2172,0.0624
standard,expert+safe,none,无策略,hood,使用通风橱,2529,0.0726
standard,expert+safe,none,无策略,waste,分类回收,1196,0.0344
standard,expert+safe,none,无策略,cleanup,隔离与清理,2653,0.0762
standard,expert+safe,none,无策略,emergency,使用应急设施,3825,0.1099
standard,expert+safe,none,无策略,report,上报负责人,4796,0.1377
standard,expert+safe,none,无策略,shutdown,切断热源/电源,4612,0.1325
standard,expert+safe,none,无策略,inspect,检查并更换器材,2193,0.063
standard,expert+safe,none,无策略,secure,固定与规范连接,675,0.0194
standard,expert+safe,none,无策略,evacuate,撤离与警戒,4154,0.1193
standard,learner+learner,none,无策略,stop,暂停当前步骤,4626,0.1335
standard,learner+learner,none,无策略,ppe,补全PPE,1298,0.0374
standard,learner+learner,none,无策略,label,核对标签与记录,2181,0.0629
standard,learner+learner,none,无策略,hood,使用通风橱,2621,0.0756
standard,learner+learner,none,无策略,waste,分类回收,1357,0.0391
standard,learner+learner,none,无策略,cleanup,隔离与清理,2559,0.0738
standard,learner+learner,none,无策略,emergency,使用应急设施,3862,0.1114
standard,learner+learner,none,无策略,report,上报负责人,4494,0.1296
standard,learner+learner,none,无策略,shutdown,切断热源/电源,4476,0.1291
standard,learner+learner,none,无策略,inspect,检查并更换器材,2221,0.0641
standard,learner+learner,none,无策略,secure,固定与规范连接,777,0.0224
standard,learner+learner,none,无策略,evacuate,撤离与警戒,4192,0.1209
standard,learner+reckless,none,无策略,stop,暂停当前步骤,4515,0.13
standard,learner+reckless,none,无策略,ppe,补全PPE,1192,0.0343
standard,learner+reckless,none,无策略,label,核对标签与记录,2336,0.0673
standard,learner+reckless,none,无策略,hood,使用通风橱,2723,0.0784
standard,learner+reckless,none,无策略,waste,分类回收,1444,0.0416
standard,learner+reckless,none,无策略,cleanup,隔离与清理,2611,0.0752
standard,learner+reckless,none,无策略,emergency,使用应急设施,3820,0.11
standard,learner+reckless,none,无策略,report,上报负责人,4393,0.1265
standard,learner+reckless,none,无策略,shutdown,切断热源/电源,4425,0.1274
standard,learner+reckless,none,无策略,inspect,检查并更换器材,2237,0.0644
standard,learner+reckless,none,无策略,secure,固定与规范连接,842,0.0242
standard,learner+reckless,none,无策略,evacuate,撤离与警戒,4184,0.1205
standard,learner+safe,none,无策略,stop,暂停当前步骤,4746,0.1368
standard,learner+safe,none,无策略,ppe,补全PPE,1261,0.0363
standard,learner+safe,none,无策略,label,核对标签与记录,2019,0.0582
standard,learner+safe,none,无策略,hood,使用通风橱,2490,0.0718
standard,learner+safe,none,无策略,waste,分类回收,1148,0.0331
standard,learner+safe,none,无策略,cleanup,隔离与清理,2595,0.0748
standard,learner+safe,none,无策略,emergency,使用应急设施,3919,0.1129
standard,learner+safe,none,无策略,report,上报负责人,4742,0.1367
standard,learner+safe,none,无策略,shutdown,切断热源/电源,4717,0.1359
standard,learner+safe,none,无策略,inspect,检查并更换器材,2078,0.0599
standard,learner+safe,none,无策略,secure,固定与规范连接,674,0.0194
standard,learner+safe,none,无策略,evacuate,撤离与警戒,4309,0.1242
standard,reckless+reckless,none,无策略,stop,暂停当前步骤,4049,0.1196
standard,reckless+reckless,none,无策略,ppe,补全PPE,1482,0.0438
standard,reckless+reckless,none,无策略,label,核对标签与记录,2481,0.0733
standard,reckless+reckless,none,无策略,hood,使用通风橱,2912,0.086
standard,reckless+reckless,none,无策略,waste,分类回收,1660,0.049
standard,reckless+reckless,none,无策略,cleanup,隔离与清理,2849,0.0841
standard,reckless+reckless,none,无策略,emergency,使用应急设施,3488,0.103
standard,reckless+reckless,none,无策略,report,上报负责人,3878,0.1145
standard,reckless+reckless,none,无策略,shutdown,切断热源/电源,3892,0.1149
standard,reckless+reckless,none,无策略,inspect,检查并更换器材,2534,0.0748
standard,reckless+reckless,none,无策略,secure,固定与规范连接,967,0.0286
standard,reckless+reckless,none,无策略,evacuate,撤离与警戒,3670,0.1084
standard,reckless+safe,none,无策略,stop,暂停当前步骤,4735,0.1364
standard,reckless+safe,none,无策略,ppe,补全PPE,1190,0.0343
standard,reckless+safe,none,无策略,label,核对标签与记录,2165,0.0624
standard,reckless+safe,none,无策略,hood,使用通风橱,2634,0.0759
standard,reckless+safe,none,无策略,waste,分类回收,1296,0.0373
standard,reckless+safe,none,无策略,cleanup,隔离与清理,2654,0.0764
standard,reckless+safe,none,无策略,emergency,使用应急设施,3698,0.1065
standard,reckless+safe,none,无策略,report,上报负责人,4609,0.1328
standard,reckless+safe,none,无策略,shutdown,切断热源/电源,4529,0.1305
standard,reckless+safe,none,无策略,inspect,检查并更换器材,2287,0.0659
standard,reckless+safe,none,无策略,secure,固定与规范连接,706,0.0203
standard,reckless+safe,none,无策略,evacuate,撤离与警戒,4213,0.1214
standard,safe+safe,none,无策略,stop,暂停当前步骤,4808,0.1386
standard,safe+safe,none,无策略,ppe,补全PPE,1227,0.0354
standard,safe+safe,none,无策略,label,核对标签与记录,1979,0.0571
standard,safe+safe,none,无策略,hood,使用通风橱,2432,0.0701
standard,safe+safe,none,无策略,waste,分类回收,1205,0.0347
standard,safe+safe,none,无策略,cleanup,隔离与清理,2560,0.0738
standard,safe+safe,none,无策略,emergency,使用应急设施,3877,0.1118
standard,safe+safe,none,无策略,report,上报负责人,4736,0.1366
standard,safe+safe,none,无策略,shutdown,切断热源/电源,4569,0.1317
standard,safe+safe,none,无策略,inspect,检查并更换器材,2132,0.0615
standard,safe+safe,none,无策略,secure,固定与规范连接,670,0.0193
standard,safe+safe,none,无策略,evacuate,撤离与警戒,4487,0.1294
teaching,balanced+balanced,none,无策略,stop,暂停当前步骤,4692,0.1326
teaching,balanced+balanced,none,无策略,ppe,补全PPE,1254,0.0354
teaching,balanced+balanced,none,无策略,label,核对标签与记录,2205,0.0623
teaching,balanced+balanced,none,无策略,hood,使用通风橱,2700,0.0763
teaching,balanced+balanced,none,无策略,waste,分类回收,1380,0.039
teaching,balanced+balanced,none,无策略,cleanup,隔离与清理,2740,0.0775
teaching,balanced+balanced,none,无策略,emergency,使用应急设施,3743,0.1058
teaching,balanced+balanced,none,无策略,report,上报负责人,4703,0.133
teaching,balanced+balanced,none,无策略,shutdown,切断热源/电源,4608,0.1303
teaching,balanced+balanced,none,无策略,inspect,检查并更换器材,2380,0.0673
teaching,balanced+balanced,none,无策略,secure,固定与规范连接,755,0.0213
teaching,balanced+balanced,none,无策略,evacuate,撤离与警戒,4214,0.1191
challenge,balanced+balanced,none,无策略,stop,暂停当前步骤,5049,0.1296
challenge,balanced+balanced,none,无策略,ppe,补全PPE,1551,0.0398
challenge,balanced+balanced,none,无策略,label,核对标签与记录,2429,0.0623
challenge,balanced+balanced,none,无策略,hood,使用通风橱,3100,0.0796
challenge,balanced+balanced,none,无策略,waste,分类回收,1522,0.0391
challenge,balanced+balanced,none,无策略,cleanup,隔离与清理,3098,0.0795
challenge,balanced+balanced,none,无策略,emergency,使用应急设施,4212,0.1081
challenge,balanced+balanced,none,无策略,report,上报负责人,5009,0.1286
challenge,balanced+balanced,none,无策略,shutdown,切断热源/电源,5015,0.1287
challenge,balanced+balanced,none,无策略,inspect,检查并更换器材,2256,0.0579
challenge,balanced+balanced,none,无策略,secure,固定与规范连接,1115,0.0286
challenge,balanced+balanced,none,无策略,evacuate,撤离与警戒,4608,0.1183
standard,balanced+balanced,stable_management,稳健管理,stop,暂停当前步骤,4669,0.132
standard,balanced+balanced,stable_management,稳健管理,ppe,补全PPE,1314,0.0372
standard,balanced+balanced,stable_management,稳健管理,label,核对标签与记录,2278,0.0644
standard,balanced+balanced,stable_management,稳健管理,hood,使用通风橱,2762,0.0781
standard,balanced+balanced,stable_management,稳健管理,waste,分类回收,1331,0.0376
standard,balanced+balanced,stable_management,稳健管理,cleanup,隔离与清理,2763,0.0781
standard,balanced+balanced,stable_management,稳健管理,emergency,使用应急设施,3663,0.1036
standard,balanced+balanced,stable_management,稳健管理,report,上报负责人,4613,0.1305
standard,balanced+balanced,stable_management,稳健管理,shutdown,切断热源/电源,4580,0.1295
standard,balanced+balanced,stable_management,稳健管理,inspect,检查并更换器材,2333,0.066
standard,balanced+balanced,stable_management,稳健管理,secure,固定与规范连接,779,0.022
standard,balanced+balanced,stable_management,稳健管理,evacuate,撤离与警戒,4275,0.1209
standard,balanced+balanced,efficiency_first,效率优先,stop,暂停当前步骤,4556,0.1326
standard,balanced+balanced,efficiency_first,效率优先,ppe,补全PPE,1271,0.037
standard,balanced+balanced,efficiency_first,效率优先,label,核对标签与记录,2168,0.0631
standard,balanced+balanced,efficiency_first,效率优先,hood,使用通风橱,2674,0.0778
standard,balanced+balanced,efficiency_first,效率优先,waste,分类回收,1375,0.04
standard,balanced+balanced,efficiency_first,效率优先,cleanup,隔离与清理,2589,0.0754
standard,balanced+balanced,efficiency_first,效率优先,emergency,使用应急设施,3568,0.1039
standard,balanced+balanced,efficiency_first,效率优先,report,上报负责人,4498,0.1309
standard,balanced+balanced,efficiency_first,效率优先,shutdown,切断热源/电源,4398,0.128
standard,balanced+balanced,efficiency_first,效率优先,inspect,检查并更换器材,2370,0.069
standard,balanced+balanced,efficiency_first,效率优先,secure,固定与规范连接,732,0.0213
standard,balanced+balanced,efficiency_first,效率优先,evacuate,撤离与警戒,4155,0.1209
standard,balanced+balanced,standards_first,规范先行,stop,暂停当前步骤,4533,0.133
standard,balanced+balanced,standards_first,规范先行,ppe,补全PPE,1250,0.0367
standard,balanced+balanced,standards_first,规范先行,label,核对标签与记录,2204,0.0647
standard,balanced+balanced,standards_first,规范先行,hood,使用通风橱,2656,0.0779
standard,balanced+balanced,standards_first,规范先行,waste,分类回收,1276,0.0374
standard,balanced+balanced,standards_first,规范先行,cleanup,隔离与清理,2520,0.0739
standard,balanced+balanced,standards_first,规范先行,emergency,使用应急设施,3649,0.1071
standard,balanced+balanced,standards_first,规范先行,report,上报负责人,4511,0.1324
standard,balanced+balanced,standards_first,规范先行,shutdown,切断热源/电源,4457,0.1308
standard,balanced+balanced,standards_first,规范先行,inspect,检查并更换器材,2223,0.0652
standard,balanced+balanced,standards_first,规范先行,secure,固定与规范连接,732,0.0215
standard,balanced+balanced,standards_first,规范先行,evacuate,撤离与警戒,4067,0.1193
standard,balanced+balanced,risk_isolation,风险隔离,stop,暂停当前步骤,4759,0.1349
standard,balanced+balanced,risk_isolation,风险隔离,ppe,补全PPE,1233,0.035
standard,balanced+balanced,risk_isolation,风险隔离,label,核对标签与记录,2247,0.0637
standard,balanced+balanced,risk_isolation,风险隔离,hood,使用通风橱,2664,0.0755
standard,balanced+balanced,risk_isolation,风险隔离,waste,分类回收,1368,0.0388
standard,balanced+balanced,risk_isolation,风险隔离,cleanup,隔离与清理,2741,0.0777
standard,balanced+balanced,risk_isolation,风险隔离,emergency,使用应急设施,3639,0.1032
standard,balanced+balanced,risk_isolation,风险隔离,report,上报负责人,4611,0.1307
standard,balanced+balanced,risk_isolation,风险隔离,shutdown,切断热源/电源,4644,0.1317
standard,balanced+balanced,risk_isolation,风险隔离,inspect,检查并更换器材,2333,0.0661
standard,balanced+balanced,risk_isolation,风险隔离,secure,固定与规范连接,750,0.0213
standard,balanced+balanced,risk_isolation,风险隔离,evacuate,撤离与警戒,4285,0.1215
